,0
AMG0,True
AMG1,True
AMG2,True
AMG3,True
AMG4,True
AMG5,True
AMG6,True
AMG7,True
AMG8,True
AMG9,True
AMG10,False
AMG11,True
AMG12,True
AMG13,True
ATF0,False
ATF1,True
ATF2,False
ATF3,True
ATF4,False
ATF5,True
ATF6,True
ATF7,True
ATF8,True
ATF9,False
ATF10,True
ATF11,True
ATF12,True
ATF13,True
CAR0,False
CAR1,False
CAR2,False
CAR3,False
CAR4,False
CAR5,False
CAR6,False
CAR7,False
CAR8,False
CAR9,False
CAR10,False
CAR11,False
CAR12,False
CAR13,False
CF10,False
CF11,False
CF12,False
CF13,False
CF14,False
CF15,False
CF16,False
CF17,False
CF18,False
CF19,False
CF110,False
CF111,False
CF112,False
CF113,False
CF20,True
CF21,True
CF22,True
CF23,True
CF24,True
CF25,True
CF26,True
CF27,True
CF28,True
CF29,True
CF210,True
CF211,True
CF212,True
CF213,True
CF30,False
CF31,False
CF32,False
CF33,False
CF34,False
CF35,False
CF36,False
CF37,False
CF38,False
CF39,False
CF310,False
CF311,False
CF312,False
CF313,False
CF40,False
CF41,False
CF42,False
CF43,False
CF44,False
CF45,False
CF46,False
CF47,False
CF48,False
CF49,False
CF410,False
CF411,False
CF412,False
CF413,False
Falta0,False
Falta1,False
Falta2,False
Falta3,False
Falta4,False
Falta5,False
Falta6,False
Falta7,False
Falta8,False
Falta9,False
Falta10,False
Falta11,False
Falta12,False
Falta13,False
GCC0,True
GCC1,True
GCC2,True
GCC3,True
GCC4,True
GCC5,True
GCC6,True
GCC7,True
GCC8,True
GCC9,True
GCC10,True
GCC11,True
GCC12,True
GCC13,True
GLI0,False
GLI1,False
GLI2,False
GLI3,False
GLI4,False
GLI5,False
GLI6,False
GLI7,False
GLI8,False
GLI9,False
GLI10,False
GLI11,False
GLI12,False
GLI13,False
LIN0,True
LIN1,True
LIN2,True
LIN3,True
LIN4,True
LIN5,True
LIN6,True
LIN7,True
LIN8,True
LIN9,True
LIN10,True
LIN11,True
LIN12,True
